card_id_max = 1267(all_card_data() から動的に計算)
  235000 件処理済み(経過 95.2s、2468.8 rows/sec)
  240000 件処理済み(経過 97.2s、2470.1 rows/sec)
  245000 件処理済み(経過 99.1s、2471.0 rows/sec)
  250000 件処理済み(経過 101.1s、2471.9 rows/sec)
  255000 件処理済み(経過 103.1s、2472.9 rows/sec)
  260000 件処理済み(経過 105.5s、2464.9 rows/sec)
  265000 件処理済み(経過 107.5s、2465.9 rows/sec)
  270000 件処理済み(経過 109.4s、2467.6 rows/sec)
  275000 件処理済み(経過 111.4s、2468.4 rows/sec)
  280000 件処理済み(経過 113.4s、2468.6 rows/sec)
  285000 件処理済み(経過 115.5s、2468.0 rows/sec)
  290000 件処理済み(経過 117.5s、2467.7 rows/sec)
  295000 件処理済み(経過 119.5s、2467.8 rows/sec)
  300000 件処理済み(経過 121.5s、2468.6 rows/sec)
  305000 件処理済み(経過 123.5s、2469.0 rows/sec)
  310000 件処理済み(経過 125.5s、2469.2 rows/sec)
  315000 件処理済み(経過 127.5s、2469.7 rows/sec)
  320000 件処理済み(経過 129.6s、2469.7 rows/sec)
  325000 件処理済み(経過 131.5s、2470.7 rows/sec)
  330000 件処理済み(経過 133.6s、2469.9 rows/sec)
  335000 件処理済み(経過 136.0s、2462.5 rows/sec)
  340000 件処理済み(経過 138.0s、2463.9 rows/sec)
  345000 件処理済み(経過 140.0s、2463.9 rows/sec)
  350000 件処理済み(経過 142.0s、2464.6 rows/sec)
  355000 件処理済み(経過 144.0s、2464.7 rows/sec)
  360000 件処理済み(経過 146.1s、2464.8 rows/sec)
  365000 件処理済み(経過 148.3s、2460.5 rows/sec)
  370000 件処理済み(経過 150.5s、2459.2 rows/sec)
  375000 件処理済み(経過 152.6s、2457.3 rows/sec)
  380000 件処理済み(経過 154.6s、2457.5 rows/sec)
  385000 件処理済み(経過 156.6s、2458.2 rows/sec)
  390000 件処理済み(経過 158.8s、2456.7 rows/sec)
  395000 件処理済み(経過 160.9s、2455.6 rows/sec)
  400000 件処理済み(経過 162.9s、2456.0 rows/sec)
  405000 件処理済み(経過 164.9s、2456.4 rows/sec)
  410000 件処理済み(経過 166.9s、2456.4 rows/sec)
  415000 件処理済み(経過 169.0s、2455.2 rows/sec)
  420000 件処理済み(経過 171.1s、2455.0 rows/sec)
  425000 件処理済み(経過 173.7s、2446.6 rows/sec)
  430000 件処理済み(経過 175.7s、2447.5 rows/sec)
  435000 件処理済み(経過 177.6s、2448.9 rows/sec)
  440000 件処理済み(経過 179.7s、2448.7 rows/sec)
  445000 件処理済み(経過 181.7s、2449.0 rows/sec)
完了: 採用 449460 件(経過 183.5s)
state_features shape=(449460, 166) dtype=float32
split 内訳: train=322315 val=41927 test=85218
書き出し完了: scale_features\features_scale_f0.5_s2.npz (49.4 MB)
注意: option_features/option_card_ids は object 配列(ragged)。読み込みは np.load(path, allow_pickle=True) を使うこと。card_id_max はスカラー(data['card_id_max'].item() で取り出す)。
