[1/5] リーダーボード取得: pokemon-tcg-ai-battle 上位200チーム (run_id=20260730T094742Z)
  #173 Dragon Ball Z (teamId=16516416, score=966.9)
  #174 jneums (teamId=16566047, score=965.6)
  #175 Kh0a (teamId=16569286, score=965.2)
  #176 SantaClaws 🎅 (teamId=16385170, score=965.2)
  #177 Latte (teamId=16380674, score=964.7)
  #178 shg195 (teamId=16374432, score=964.6)
  #179 Cook Noah (teamId=16585300, score=964.5)
  #180 Team KASA. (teamId=16372307, score=964.5)
  #181 jiatu.l (teamId=16397524, score=964.0)
  #182 Tanupro (teamId=16378362, score=963.3)
  #183 kuromoka (teamId=16393006, score=962.8)
  #184 Canon (teamId=16373951, score=962.4)
  #185 hoshi18 (teamId=16532420, score=962.0)
  #186 shyjin (teamId=16591662, score=960.8)
  #187 vvhan (teamId=16425569, score=960.2)
  #188 zhexun Liu (teamId=16593194, score=959.5)
  #189 HSBMAX (teamId=16451815, score=959.0)
  #190 MarineYY (teamId=16400698, score=958.9)
  #191 ポケカ前線 (teamId=16377557, score=958.8)
  #192 Evgeniy Zdoronok (teamId=16595297, score=958.5)
  #193 hotpotbro (teamId=16421871, score=958.4)
  #194 Abhiraj Singh (teamId=16570624, score=958.3)
  #195 Hancang Mi (teamId=16514878, score=957.4)
  #196 Kotaro OKUYAMA (teamId=16379968, score=957.4)
  #197 Jeffrey Pike (teamId=16373130, score=957.4)
  #198 tototo (teamId=16381506, score=956.7)
  #199 wally0593 (teamId=16471516, score=956.5)
  #200 Haumea (teamId=16404960, score=956.5)
[2/5] 各チームの提出IDを取得(チームごと最新1件)
[3/5] エピソード一覧を取得(200件の提出から)
[4/5] リプレイ4000件をダウンロード -> C:\Users\rinnz\Documents\pokemon\pokemon-tcg-ai-battle\kaggle_replays\replays
  (1/4000) episode 88909065 -> episode-88909065-replay.json
  (2/4000) episode 88909191 -> episode-88909191-replay.json
  (3/4000) episode 88909205 -> episode-88909205-replay.json
  (4/4000) episode 88909212 -> episode-88909212-replay.json
  (5/4000) episode 88909215 -> episode-88909215-replay.json
  (6/4000) episode 88909226 -> episode-88909226-replay.json
  (7/4000) episode 88909230 -> episode-88909230-replay.json
  (8/4000) episode 88909234 -> episode-88909234-replay.json
  (9/4000) episode 88909293 -> episode-88909293-replay.json
  (10/4000) episode 88909316 -> episode-88909316-replay.json
  (11/4000) episode 88909318 -> episode-88909318-replay.json
  (12/4000) episode 88909322 -> episode-88909322-replay.json
  (13/4000) episode 88909324 -> episode-88909324-replay.json
  (14/4000) episode 88909325 -> episode-88909325-replay.json
  (15/4000) episode 88909334 -> episode-88909334-replay.json
  (16/4000) episode 88909342 -> episode-88909342-replay.json
  (17/4000) episode 88909344 -> episode-88909344-replay.json
  (18/4000) episode 88909348 -> episode-88909348-replay.json
  (19/4000) episode 88909355 -> episode-88909355-replay.json
  (20/4000) episode 88909364 -> episode-88909364-replay.json
  (21/4000) episode 88909368 -> episode-88909368-replay.json
  (22/4000) episode 88909373 -> episode-88909373-replay.json
  (23/4000) episode 88909374 -> episode-88909374-replay.json
  (24/4000) episode 88909376 -> episode-88909376-replay.json
  (25/4000) episode 88909395 -> episode-88909395-replay.json
  (26/4000) episode 88909411 -> episode-88909411-replay.json
  (27/4000) episode 88909431 -> episode-88909431-replay.json
  (28/4000) episode 88909441 -> episode-88909441-replay.json
  (29/4000) episode 88909448 -> episode-88909448-replay.json
  (30/4000) episode 88909494 -> episode-88909494-replay.json
  (31/4000) episode 88909497 -> episode-88909497-replay.json
  (32/4000) episode 88909511 -> episode-88909511-replay.json
  (33/4000) episode 88909526 -> episode-88909526-replay.json
  (34/4000) episode 88909651 -> episode-88909651-replay.json
  (35/4000) episode 88909653 -> episode-88909653-replay.json
  (36/4000) episode 88909660 -> episode-88909660-replay.json
  (37/4000) episode 88909664 -> episode-88909664-replay.json
  (38/4000) episode 88909687 -> episode-88909687-replay.json
  (39/4000) episode 88909692 -> episode-88909692-replay.json
  (40/4000) episode 88909704 -> episode-88909704-replay.json
  (41/4000) episode 88909732 -> episode-88909732-replay.json
  (42/4000) episode 88909734 -> episode-88909734-replay.json
  (43/4000) episode 88909746 -> episode-88909746-replay.json
  (44/4000) episode 88909747 -> episode-88909747-replay.json
  (45/4000) episode 88909750 -> episode-88909750-replay.json
  (46/4000) episode 88909752 -> episode-88909752-replay.json
  (47/4000) episode 88909756 -> episode-88909756-replay.json
  (48/4000) episode 88909757 -> episode-88909757-replay.json
  (49/4000) episode 88909760 -> episode-88909760-replay.json
  (50/4000) episode 88909767 -> episode-88909767-replay.json
  (51/4000) episode 88909788 -> episode-88909788-replay.json
  (52/4000) episode 88909806 -> episode-88909806-replay.json
  (53/4000) episode 88909814 -> episode-88909814-replay.json
  (54/4000) episode 88909830 -> episode-88909830-replay.json
  (55/4000) episode 88909843 -> episode-88909843-replay.json
  (56/4000) episode 88909845 -> episode-88909845-replay.json
  (57/4000) episode 88909851 -> episode-88909851-replay.json
  (58/4000) episode 88909855 -> episode-88909855-replay.json
  (59/4000) episode 88909860 -> episode-88909860-replay.json
  (60/4000) episode 88909864 -> episode-88909864-replay.json
  (61/4000) episode 88909879 -> episode-88909879-replay.json
  (62/4000) episode 88909886 -> episode-88909886-replay.json
  (63/4000) episode 88909892 -> episode-88909892-replay.json
  (64/4000) episode 88909917 -> episode-88909917-replay.json
  (65/4000) episode 88909918 -> episode-88909918-replay.json
  (66/4000) episode 88909925 -> episode-88909925-replay.json
  (67/4000) episode 88909956 -> episode-88909956-replay.json
  (68/4000) episode 88910001 -> episode-88910001-replay.json
  (69/4000) episode 88910067 -> episode-88910067-replay.json
  (70/4000) episode 88910104 -> episode-88910104-replay.json
  (71/4000) episode 88910109 -> episode-88910109-replay.json
  (72/4000) episode 88910111 -> episode-88910111-replay.json
  (73/4000) episode 88910116 -> episode-88910116-replay.json
  (74/4000) episode 88910134 -> episode-88910134-replay.json
  (75/4000) episode 88910135 -> episode-88910135-replay.json
  (76/4000) episode 88910138 -> episode-88910138-replay.json
  (77/4000) episode 88910144 -> episode-88910144-replay.json
  (78/4000) episode 88910149 -> episode-88910149-replay.json
  (79/4000) episode 88910165 -> episode-88910165-replay.json
  (80/4000) episode 88910209 -> episode-88910209-replay.json
  (81/4000) episode 88910225 -> episode-88910225-replay.json
  (82/4000) episode 88910233 -> episode-88910233-replay.json
  (83/4000) episode 88910234 -> episode-88910234-replay.json
  (84/4000) episode 88910242 -> episode-88910242-replay.json
  (85/4000) episode 88910249 -> episode-88910249-replay.json
  (86/4000) episode 88910255 -> episode-88910255-replay.json
  (87/4000) episode 88910259 -> episode-88910259-replay.json
  (88/4000) episode 88910279 -> episode-88910279-replay.json
  (89/4000) episode 88910284 -> episode-88910284-replay.json
  (90/4000) episode 88910292 -> episode-88910292-replay.json
  (91/4000) episode 88910302 -> episode-88910302-replay.json
  (92/4000) episode 88910303 -> episode-88910303-replay.json
  (93/4000) episode 88910304 -> episode-88910304-replay.json
  (94/4000) episode 88910314 -> episode-88910314-replay.json
  (95/4000) episode 88910318 -> episode-88910318-replay.json
  (96/4000) episode 88910320 -> episode-88910320-replay.json
  (97/4000) episode 88910338 -> episode-88910338-replay.json
  (98/4000) episode 88910358 -> episode-88910358-replay.json
  (99/4000) episode 88910386 -> episode-88910386-replay.json
  (100/4000) episode 88910396 -> episode-88910396-replay.json
  (101/4000) episode 88910405 -> episode-88910405-replay.json
  (102/4000) episode 88910412 -> episode-88910412-replay.json
  (103/4000) episode 88910498 -> episode-88910498-replay.json
  (104/4000) episode 88910556 -> episode-88910556-replay.json
  (105/4000) episode 88910573 -> episode-88910573-replay.json
  (106/4000) episode 88910580 -> episode-88910580-replay.json
  (107/4000) episode 88910588 -> episode-88910588-replay.json
  (108/4000) episode 88910595 -> episode-88910595-replay.json
  (109/4000) episode 88910598 -> episode-88910598-replay.json
  (110/4000) episode 88910605 -> episode-88910605-replay.json
  (111/4000) episode 88910611 -> episode-88910611-replay.json
  (112/4000) episode 88910612 -> episode-88910612-replay.json
  (113/4000) episode 88910614 -> episode-88910614-replay.json
  (114/4000) episode 88910620 -> episode-88910620-replay.json
  (115/4000) episode 88910631 -> episode-88910631-replay.json
  (116/4000) episode 88910634 -> episode-88910634-replay.json
  (117/4000) episode 88910638 -> episode-88910638-replay.json
  (118/4000) episode 88910662 -> episode-88910662-replay.json
  (119/4000) episode 88910663 -> episode-88910663-replay.json
  (120/4000) episode 88910668 -> episode-88910668-replay.json
  (121/4000) episode 88910670 -> episode-88910670-replay.json
  (122/4000) episode 88910687 -> episode-88910687-replay.json
  (123/4000) episode 88910691 -> episode-88910691-replay.json
  (124/4000) episode 88910705 -> episode-88910705-replay.json
  (125/4000) episode 88910717 -> episode-88910717-replay.json
  (126/4000) episode 88910724 -> episode-88910724-replay.json
  (127/4000) episode 88910726 -> episode-88910726-replay.json
  (128/4000) episode 88910737 -> episode-88910737-replay.json
  (129/4000) episode 88910738 -> episode-88910738-replay.json
  (130/4000) episode 88910745 -> episode-88910745-replay.json
  (131/4000) episode 88910746 -> episode-88910746-replay.json
  (132/4000) episode 88910751 -> episode-88910751-replay.json
  (133/4000) episode 88910769 -> episode-88910769-replay.json
  (134/4000) episode 88910774 -> episode-88910774-replay.json
  (135/4000) episode 88910785 -> episode-88910785-replay.json
  (136/4000) episode 88910791 -> episode-88910791-replay.json
  (137/4000) episode 88910804 -> episode-88910804-replay.json
  (138/4000) episode 88910814 -> episode-88910814-replay.json
  (139/4000) episode 88910825 -> episode-88910825-replay.json
  (140/4000) episode 88910839 -> episode-88910839-replay.json
  (141/4000) episode 88910891 -> episode-88910891-replay.json
  (142/4000) episode 88911024 -> episode-88911024-replay.json
  (143/4000) episode 88911058 -> episode-88911058-replay.json
  (144/4000) episode 88911068 -> episode-88911068-replay.json
  (145/4000) episode 88911097 -> episode-88911097-replay.json
  (146/4000) episode 88911116 -> episode-88911116-replay.json
  (147/4000) episode 88911126 -> episode-88911126-replay.json
  (148/4000) episode 88911131 -> episode-88911131-replay.json
  (149/4000) episode 88911140 -> episode-88911140-replay.json
  (150/4000) episode 88911147 -> episode-88911147-replay.json
  (151/4000) episode 88911183 -> episode-88911183-replay.json
  (152/4000) episode 88911192 -> episode-88911192-replay.json
  (153/4000) episode 88911195 -> episode-88911195-replay.json
  (154/4000) episode 88911210 -> episode-88911210-replay.json
  (155/4000) episode 88911215 -> episode-88911215-replay.json
  (156/4000) episode 88911235 -> episode-88911235-replay.json
  (157/4000) episode 88911240 -> episode-88911240-replay.json
  (158/4000) episode 88911268 -> episode-88911268-replay.json
  (159/4000) episode 88911273 -> episode-88911273-replay.json
  (160/4000) episode 88911280 -> episode-88911280-replay.json
  (161/4000) episode 88911285 -> episode-88911285-replay.json
  (162/4000) episode 88911287 -> episode-88911287-replay.json
  (163/4000) episode 88911297 -> episode-88911297-replay.json
  (164/4000) episode 88911303 -> episode-88911303-replay.json
  (165/4000) episode 88911319 -> episode-88911319-replay.json
  (166/4000) episode 88911336 -> episode-88911336-replay.json
  (167/4000) episode 88911339 -> episode-88911339-replay.json
  (168/4000) episode 88911380 -> episode-88911380-replay.json
  (169/4000) episode 88911394 -> episode-88911394-replay.json
  (170/4000) episode 88911396 -> episode-88911396-replay.json
  (171/4000) episode 88911408 -> episode-88911408-replay.json
  (172/4000) episode 88911415 -> episode-88911415-replay.json
  (173/4000) episode 88911486 -> episode-88911486-replay.json
  (174/4000) episode 88911491 -> episode-88911491-replay.json
  (175/4000) episode 88911536 -> episode-88911536-replay.json
  (176/4000) episode 88911554 -> episode-88911554-replay.json
  (177/4000) episode 88911567 -> episode-88911567-replay.json
  (178/4000) episode 88911574 -> episode-88911574-replay.json
  (179/4000) episode 88911583 -> episode-88911583-replay.json
  (180/4000) episode 88911591 -> episode-88911591-replay.json
  (181/4000) episode 88911593 -> episode-88911593-replay.json
  (182/4000) episode 88911652 -> episode-88911652-replay.json
  (183/4000) episode 88911664 -> episode-88911664-replay.json
  (184/4000) episode 88911683 -> episode-88911683-replay.json
  (185/4000) episode 88911696 -> episode-88911696-replay.json
  (186/4000) episode 88911702 -> episode-88911702-replay.json
  (187/4000) episode 88911705 -> episode-88911705-replay.json
  (188/4000) episode 88911707 -> episode-88911707-replay.json
  (189/4000) episode 88911710 -> episode-88911710-replay.json
  (190/4000) episode 88911725 -> episode-88911725-replay.json
  (191/4000) episode 88911736 -> episode-88911736-replay.json
  (192/4000) episode 88911739 -> episode-88911739-replay.json
  (193/4000) episode 88911743 -> episode-88911743-replay.json
  (194/4000) episode 88911749 -> episode-88911749-replay.json
  (195/4000) episode 88911764 -> episode-88911764-replay.json
  (196/4000) episode 88911765 -> episode-88911765-replay.json
  (197/4000) episode 88911772 -> episode-88911772-replay.json
  (198/4000) episode 88911778 -> episode-88911778-replay.json
  (199/4000) episode 88911782 -> episode-88911782-replay.json
  (200/4000) episode 88911788 -> episode-88911788-replay.json
  (201/4000) episode 88911825 -> episode-88911825-replay.json
  (202/4000) episode 88911868 -> episode-88911868-replay.json
  (203/4000) episode 88911918 -> episode-88911918-replay.json
  (204/4000) episode 88911922 -> episode-88911922-replay.json
  (205/4000) episode 88911950 -> episode-88911950-replay.json
  (206/4000) episode 88911992 -> episode-88911992-replay.json
  (207/4000) episode 88912000 -> episode-88912000-replay.json
  (208/4000) episode 88912019 -> episode-88912019-replay.json
  (209/4000) episode 88912033 -> episode-88912033-replay.json
  (210/4000) episode 88912048 -> episode-88912048-replay.json
  (211/4000) episode 88912049 -> episode-88912049-replay.json
  (212/4000) episode 88912051 -> episode-88912051-replay.json
  (213/4000) episode 88912056 -> episode-88912056-replay.json
  (214/4000) episode 88912058 -> episode-88912058-replay.json
  (215/4000) episode 88912112 -> episode-88912112-replay.json
  (216/4000) episode 88912119 -> episode-88912119-replay.json
  (217/4000) episode 88912126 -> episode-88912126-replay.json
  (218/4000) episode 88912129 -> episode-88912129-replay.json
  (219/4000) episode 88912131 -> episode-88912131-replay.json
  (220/4000) episode 88912138 -> episode-88912138-replay.json
  (221/4000) episode 88912146 -> episode-88912146-replay.json
  (222/4000) episode 88912155 -> episode-88912155-replay.json
  (223/4000) episode 88912165 -> episode-88912165-replay.json
  (224/4000) episode 88912171 -> episode-88912171-replay.json
  (225/4000) episode 88912175 -> episode-88912175-replay.json
  (226/4000) episode 88912178 -> episode-88912178-replay.json
  (227/4000) episode 88912188 -> episode-88912188-replay.json
  (228/4000) episode 88912201 -> episode-88912201-replay.json
  (229/4000) episode 88912215 -> episode-88912215-replay.json
  (230/4000) episode 88912216 -> episode-88912216-replay.json
  (231/4000) episode 88912224 -> episode-88912224-replay.json
  (232/4000) episode 88912309 -> episode-88912309-replay.json
  (233/4000) episode 88912371 -> episode-88912371-replay.json
  (234/4000) episode 88912383 -> episode-88912383-replay.json
  (235/4000) episode 88912414 -> episode-88912414-replay.json
  (236/4000) episode 88912442 -> episode-88912442-replay.json
  (237/4000) episode 88912457 -> episode-88912457-replay.json
  (238/4000) episode 88912467 -> episode-88912467-replay.json
  (239/4000) episode 88912468 -> episode-88912468-replay.json
  (240/4000) episode 88912480 -> episode-88912480-replay.json
  (241/4000) episode 88912505 -> episode-88912505-replay.json
  (242/4000) episode 88912508 -> episode-88912508-replay.json
  (243/4000) episode 88912518 -> episode-88912518-replay.json
  (244/4000) episode 88912560 -> episode-88912560-replay.json
  (245/4000) episode 88912561 -> episode-88912561-replay.json
  (246/4000) episode 88912575 -> episode-88912575-replay.json
  (247/4000) episode 88912578 -> episode-88912578-replay.json
  (248/4000) episode 88912596 -> episode-88912596-replay.json
  (249/4000) episode 88912599 -> episode-88912599-replay.json
  (250/4000) episode 88912614 -> episode-88912614-replay.json
  (251/4000) episode 88912615 -> episode-88912615-replay.json
  (252/4000) episode 88912623 -> episode-88912623-replay.json
  (253/4000) episode 88912624 -> episode-88912624-replay.json
  (254/4000) episode 88912630 -> episode-88912630-replay.json
  (255/4000) episode 88912638 -> episode-88912638-replay.json
  (256/4000) episode 88912643 -> episode-88912643-replay.json
  (257/4000) episode 88912657 -> episode-88912657-replay.json
  (258/4000) episode 88912659 -> episode-88912659-replay.json
  (259/4000) episode 88912667 -> episode-88912667-replay.json
  (260/4000) episode 88912673 -> episode-88912673-replay.json
  (261/4000) episode 88912674 -> episode-88912674-replay.json
  (262/4000) episode 88912720 -> episode-88912720-replay.json
  (263/4000) episode 88912752 -> episode-88912752-replay.json
  (264/4000) episode 88912774 -> episode-88912774-replay.json
  (265/4000) episode 88912829 -> episode-88912829-replay.json
  (266/4000) episode 88912844 -> episode-88912844-replay.json
  (267/4000) episode 88912849 -> episode-88912849-replay.json
  (268/4000) episode 88912870 -> episode-88912870-replay.json
  (269/4000) episode 88912872 -> episode-88912872-replay.json
  (270/4000) episode 88912875 -> episode-88912875-replay.json
  (271/4000) episode 88912883 -> episode-88912883-replay.json
  (272/4000) episode 88912900 -> episode-88912900-replay.json
  (273/4000) episode 88912934 -> episode-88912934-replay.json
  (274/4000) episode 88912953 -> episode-88912953-replay.json
  (275/4000) episode 88912961 -> episode-88912961-replay.json
  (276/4000) episode 88912963 -> episode-88912963-replay.json
  (277/4000) episode 88912964 -> episode-88912964-replay.json
  (278/4000) episode 88912970 -> episode-88912970-replay.json
  (279/4000) episode 88912974 -> episode-88912974-replay.json
  (280/4000) episode 88912978 -> episode-88912978-replay.json
  (281/4000) episode 88912988 -> episode-88912988-replay.json
  (282/4000) episode 88912991 -> episode-88912991-replay.json
  (283/4000) episode 88912994 -> episode-88912994-replay.json
  (284/4000) episode 88912998 -> episode-88912998-replay.json
  (285/4000) episode 88913003 -> episode-88913003-replay.json
  (286/4000) episode 88913019 -> episode-88913019-replay.json
  (287/4000) episode 88913044 -> episode-88913044-replay.json
  (288/4000) episode 88913065 -> episode-88913065-replay.json
  (289/4000) episode 88913067 -> episode-88913067-replay.json
  (290/4000) episode 88913072 -> episode-88913072-replay.json
  (291/4000) episode 88913076 -> episode-88913076-replay.json
  (292/4000) episode 88913100 -> episode-88913100-replay.json
  (293/4000) episode 88913104 -> episode-88913104-replay.json
  (294/4000) episode 88913109 -> episode-88913109-replay.json
  (295/4000) episode 88913141 -> episode-88913141-replay.json
